date,count,day,day_abc,col_no,ID,treat,q.activity,active,response,buzzing,charging,butting,grappling,stinging,aggression,eggs,treat_activity,treat_response
10/04/2019,7,10,a3.10,59,CR1.5,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,60,TR2.1,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,61,TR1.18,R,m,TRUE,TRUE,1,0,0,0,0,1,0,R_Active,R_Response
10/04/2019,7,10,a3.10,63,CR2.15,C,b,FALSE,TRUE,0,0,0,0,0,0,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,64,CR2.10,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
10/04/2019,7,10,a3.10,65,CR1.20,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
10/04/2019,7,10,a3.10,66,TR2.3,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,67,TR1.1,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,68,CR2.7,C,b,FALSE,TRUE,1,0,0,0,0,1,0,C_Inactive,C_Response
10/04/2019,7,10,a3.10,69,TR2.15,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,70,TR2.10,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,71,TR2.7,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,72,TR2.6,R,b,FALSE,TRUE,1,0,0,0,0,1,0,R_Inactive,R_Response
10/04/2019,7,10,a3.10,73,TR1.17,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,74,TR1.20,R,m,TRUE,TRUE,0,0,0,0,0,0,0,R_Active,R_Response
10/04/2019,7,10,a3.10,75,TR1.12,R,b,FALSE,TRUE,0,0,0,0,0,0,0,R_Inactive,R_Response
14/04/2019,10,14,a4.14,1,E3,R,m,TRUE,TRUE,1,0,0,0,0,1,0,R_Active,R_Response
14/04/2019,10,14,a4.14,2,CR1.12,C,m,TRUE,TRUE,0,0,0,0,0,0,0,C_Active,C_Response
14/04/2019,10,14,a4.14,3,CR2.1,C,m,TRUE,TRUE,2,0,0,0,0,2,0,C_Active,C_Response
